Wall time,Step,Value
1748396053.1597047,6275072,-15.655415534973145
1748396075.23761,6291456,-15.829707145690918
1748396096.6915276,6307840,-9.01394271850586
1748396116.84656,6324224,-6.736660957336426
1748396137.0242722,6340608,-10.21277141571045
1748396157.3262715,6356992,-15.453544616699219
1748396177.4631286,6373376,-10.614517211914062
1748396197.6656966,6389760,-13.290282249450684
1748396217.9025266,6406144,-13.144408226013184
1748396238.7112494,6422528,-7.826807498931885
1748396259.176738,6438912,-7.553595066070557
1748396279.5169435,6455296,-6.792194366455078
1748396300.044345,6471680,-7.777376174926758
1748396320.4114058,6488064,-17.279064178466797
1748396340.6661007,6504448,-11.277859687805176
1748396361.4569874,6520832,-6.5200910568237305
1748396381.7210453,6537216,-8.706087112426758
1748396402.2443533,6553600,-8.105476379394531
1748396422.5017695,6569984,-8.954452514648438
1748396442.668768,6586368,-17.070804595947266
1748396462.8791442,6602752,-9.822473526000977
1748396483.6538527,6619136,-11.810851097106934
1748396503.8239956,6635520,-15.711689949035645
1748396524.083255,6651904,-12.914312362670898
1748396544.3660276,6668288,-12.269906997680664
1748396564.5157528,6684672,-7.246368885040283
1748396584.899602,6701056,-8.202397346496582
1748396605.516459,6717440,-9.23867130279541
1748396625.8023405,6733824,-6.613337516784668
1748396646.0204608,6750208,-7.868780612945557
1748396666.35059,6766592,-9.685977935791016
1748396686.4594853,6782976,-11.968600273132324
1748396706.7370923,6799360,-12.949862480163574
1748396727.3429353,6815744,-9.765767097473145
1748396747.580876,6832128,-6.716069221496582
1748396767.799469,6848512,-8.151555061340332
1748396787.968414,6864896,-8.490096092224121
1748396808.2786417,6881280,-5.359444618225098
1748396828.6026826,6897664,-5.353331089019775
1748396849.3053632,6914048,-5.949781894683838
1748396869.6012225,6930432,-8.674698829650879
1748396889.7940192,6946816,-7.525588512420654
1748396910.0669115,6963200,-7.343504905700684
1748396930.3297331,6979584,-7.241755962371826
1748396950.5031762,6995968,-12.478581428527832
1748396971.0743866,7012352,-13.966878890991211
1748396991.513189,7028736,-8.852581024169922
1748397011.7545693,7045120,-7.305779457092285
1748397031.9695277,7061504,-7.724401473999023
1748397052.343282,7077888,-7.516041278839111
1748397072.6434913,7094272,-9.341246604919434
1748397092.8473787,7110656,-7.485345363616943
1748397113.6452432,7127040,-6.9751152992248535
1748397134.0284753,7143424,-6.448191165924072
1748397154.3711975,7159808,-6.446287631988525
1748397174.826251,7176192,-6.6432600021362305
1748397195.148332,7192576,-6.676590442657471
1748397215.3645644,7208960,-6.876964092254639
1748397236.0751307,7225344,-7.091939449310303
1748397256.517203,7241728,-9.000327110290527
1748397276.7725835,7258112,-10.256781578063965
1748397296.9703977,7274496,-13.466873168945312
1748397317.1344805,7290880,-8.282392501831055
1748397337.458967,7307264,-8.172471046447754
1748397358.1198306,7323648,-11.051131248474121
1748397378.4442165,7340032,-13.98735237121582
1748397398.5653777,7356416,-11.173285484313965
1748397418.6163085,7372800,-9.565350532531738
1748397438.911392,7389184,-14.07821273803711
1748397459.4107316,7405568,-25.728321075439453
1748397479.5868814,7421952,-23.985342025756836
1748397499.818756,7438336,-15.683849334716797
1748397519.9880533,7454720,-15.489255905151367
1748397540.165582,7471104,-14.42151927947998
1748397560.4433813,7487488,-15.42599868774414
1748397580.5557353,7503872,-16.833106994628906
1748397601.0729375,7520256,-14.85720443725586
1748397623.5072458,7536640,-11.911965370178223
1748397649.7917707,7553024,-12.029085159301758
1748397674.964669,7569408,-9.687505722045898
1748397710.2182431,7585792,-14.385587692260742
1748397739.1903884,7602176,-6.730693817138672
1748397764.8761864,7618560,-9.424696922302246
1748397790.041925,7634944,-9.067070960998535
1748397816.2225232,7651328,-6.1841840744018555
1748397842.185897,7667712,-12.101045608520508
1748397867.2309184,7684096,-12.740752220153809
1748397892.663154,7700480,-9.5593900680542
1748397918.3757284,7716864,-9.437856674194336
1748397942.5940957,7733248,-10.870552062988281
1748397966.3342113,7749632,-11.454087257385254
1748397991.523378,7766016,-8.967217445373535
1748398016.9343977,7782400,-6.891334533691406
1748398038.2102091,7798784,-8.454984664916992
1748398058.367955,7815168,-8.926101684570312
1748398079.0243037,7831552,-9.003434181213379
1748398099.0651696,7847936,-12.755172729492188
1748398119.6001651,7864320,-11.325729370117188
1748398140.4410803,7880704,-24.255380630493164
1748398161.385316,7897088,-70.79365539550781
1748398182.5364113,7913472,-77.61286926269531
1748398203.393225,7929856,-69.5283432006836
1748398224.2207022,7946240,-51.522438049316406
1748398245.410722,7962624,-58.852413177490234
1748398266.9078498,7979008,-71.5898208618164
1748398287.96121,7995392,-53.68798065185547
1748398308.962322,8011776,-37.07945251464844
1748398330.33071,8028160,-26.613901138305664
1748398351.5243008,8044544,-44.10243225097656
1748398372.9687474,8060928,-27.88440704345703
1748398393.3789427,8077312,-37.65471267700195
1748398413.9185061,8093696,-33.96394348144531
1748398434.8834932,8110080,-24.68398666381836
1748398455.377711,8126464,-23.172574996948242
1748398475.9153676,8142848,-14.69560432434082
1748398496.7972453,8159232,-6.026115894317627
1748398517.7054799,8175616,-9.991057395935059
1748398538.1340926,8192000,-11.02619743347168
1748398558.7441483,8208384,-10.500772476196289
1748398579.4092212,8224768,-9.465950012207031
1748398599.7454755,8241152,-7.611786842346191
1748398620.2153833,8257536,-9.028971672058105
1748398640.9427767,8273920,-8.070884704589844
1748398661.023665,8290304,-16.743249893188477
1748398681.2883074,8306688,-13.6100435256958
1748398701.7397323,8323072,-6.964419841766357
1748398721.8092682,8339456,-5.8752217292785645
1748398741.8768995,8355840,-7.4390974044799805
1748398761.9106126,8372224,-12.93860149383545
1748398782.1921487,8388608,-16.067197799682617
1748398802.3156989,8404992,-11.743934631347656
1748398822.8985898,8421376,-8.709327697753906
1748398843.0161328,8437760,-6.128394603729248
1748398863.0787961,8454144,-6.765817642211914
1748398883.2546947,8470528,-6.506543159484863
1748398903.3290467,8486912,-7.383322715759277
1748398923.3411818,8503296,-7.499788761138916
1748398943.6487682,8519680,-7.765002250671387
1748398963.6248267,8536064,-7.6120500564575195
1748398983.7470598,8552448,-9.067777633666992
1748399003.811137,8568832,-6.261518478393555
1748399023.856486,8585216,-8.594353675842285
1748399043.9913118,8601600,-9.905682563781738
1748399064.5725935,8617984,-9.497838973999023
1748399084.6120255,8634368,-6.535881996154785
1748399104.5892036,8650752,-8.854569435119629
1748399124.4870594,8667136,-19.732797622680664
1748399144.5016587,8683520,-28.207487106323242
